Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","0.87","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","39.57","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","22.56","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","6.13","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","16.51","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AGO","Angola","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","10.52","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ATG","Antigua-et-Barbuda","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","68.33","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SAU","Arabie saoudite","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","45.57","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARG","Argentine","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","48.19","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","ARM","Arménie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","18.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AUS","Australie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","49.09","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AUT","Autriche","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","19.14","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","AZE","Azerbaïdjan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","16.06","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BHS","Bahamas","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","63.27","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BHR","Bahreïn","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","46.73","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BGD","Bangladesh","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","1.66","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BRB","Barbade","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","56.37","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BLR","Bélarus","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","35.13","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BEL","Belgique","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","16.25","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BLZ","Belize","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","30.33","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BEN","Bénin","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","10.69","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BTN","Bhoutan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","4.81","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BOL","Bolivie (État plurinational de)","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","42.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BIH","Bosnie-Herzégovine","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","21.82","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BWA","Botswana","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","2.56","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BRA","Brésil","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","47.05","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BGR","Bulgarie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","20.87","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BFA","Burkina Faso","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","6.66","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BDI","Burundi","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","0.66","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CPV","Cabo Verde","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","23.13","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","KHM","Cambodge","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","1.83","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CMR","Cameroun","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","4.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CAN","Canada","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","41.17","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CHL","Chili","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","38.51","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","F351","Chine","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","17.69","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HKG","Chine - RAS de Hong-Kong","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","45.14","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","MAC","Chine - RAS de Macao","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","49.61","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CHN","Chine, continentale","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","17.14","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","TWN","Chine, Taiwan Province de","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","40.9","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CYP","Chypre","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","29.09","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COL","Colombie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","36.65","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COM","Comores","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","23.05","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","COG","Congo","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","27.6","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CRI","Costa Rica","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","32.27","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CIV","Côte d'Ivoire","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","2.45","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HRV","Croatie","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","19.54","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CUB","Cuba","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","29.8","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DNK","Danemark","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","17.83","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DJI","Djibouti","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","3.99","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","DMA","Dominique","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","46.46","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","EGY","Égypte","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","23.8","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","SLV","El Salvador","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2022","2022","kcal/personne","28.06","E","Valeur estimée",""
