Code Domaine,Domaine,Code pays déclarant (ISO3),Pays déclarants,Code pays partenaire (ISO3),Pays partenaires,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","6","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","0.24","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","38","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","491.3","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ALB","Albanie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","574","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DZA","Algérie","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","236","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DZA","Algérie","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","9.52","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DZA","Algérie","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","1907","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","2146","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","4733.25","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","4102","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","38321.24","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DEU","Allemagne","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","79441","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","5","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","0.18","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","31","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","248.37","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AGO","Angola","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","220","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","SAU","Arabie saoudite","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","491","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","SAU","Arabie saoudite","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","19.65","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","SAU","Arabie saoudite","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","2786","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","SAU","Arabie saoudite","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","60196.71","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","SAU","Arabie saoudite","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","130852","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ARM","Arménie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","387.33","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ARM","Arménie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","262","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AUT","Autriche","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","56","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AUT","Autriche","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","2.29","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AUT","Autriche","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","339","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AUT","Autriche","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","391.59","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","AUT","Autriche","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","1490","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BHR","Bahreïn","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","357.1","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BHR","Bahreïn","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","848","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGD","Bangladesh","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","874","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGD","Bangladesh","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","34.62","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGD","Bangladesh","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","6374","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","48467","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","109321.3","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","127655","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","29989.53","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEL","Belgique","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","72685","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","34","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","1.22","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","32","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2425.84","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BEN","Bénin","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","3170","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","31","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","1.2","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","168","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","383.79","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BGR","Bulgarie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","600","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","146","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","5.51","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","224","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","5.54","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BFA","Burkina Faso","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","22","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BDI","Burundi","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","4","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BDI","Burundi","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","0.16","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","BDI","Burundi","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","25","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CPV","Cabo Verde","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","51.39","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CPV","Cabo Verde","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","90","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","KHM","Cambodge","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","0.07","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","KHM","Cambodge","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","3","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","265","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","10.95","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","1143","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","165.33","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CMR","Cameroun","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","396","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","9","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","0.34","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","137","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","26.52","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CAN","Canada","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","19","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HKG","Chine - RAS de Hong-Kong","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1021.55","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HKG","Chine - RAS de Hong-Kong","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","3629","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","MAC","Chine - RAS de Macao","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","0.16","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","MAC","Chine - RAS de Macao","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","2","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CHN","Chine, continentale","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","25.18","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CHN","Chine, continentale","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","52","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CYP","Chypre","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","23.53","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CYP","Chypre","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","169","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COM","Comores","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","941.46","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COM","Comores","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","1406","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","367","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","10.99","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","420","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2974.74","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","COG","Congo","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","4204","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","200","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","7.35","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","442","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","70.09","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","CIV","Côte d'Ivoire","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","187","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","1","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","0.04","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","42","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","99.99","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","HRV","Croatie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","101","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","80","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","3.65","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","313","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","2185.99","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DNK","Danemark","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","9304","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DJI","Djibouti","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","35.58","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","DJI","Djibouti","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","142","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","EGY","Égypte","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","95","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","EGY","Égypte","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","3.91","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","EGY","Égypte","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","2048","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ARE","Émirats arabes unis","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","6097","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ARE","Émirats arabes unis","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","12840","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ESP","Espagne","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","6213","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ESP","Espagne","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","358.81","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ESP","Espagne","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","15952","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ESP","Espagne","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","15162.63","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ESP","Espagne","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","24625","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","EST","Estonie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","122.22","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","EST","Estonie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","272","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","USA","États-Unis d'Amérique","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","1.28","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","USA","États-Unis d'Amérique","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","12","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","FRA","France","ETH","Éthiopie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","3.14","A","Chiffre officiel"
