Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","29","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AFG","Afghanistan","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1958","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ZAF","Afrique du Sud","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","304","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","18","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ALB","Albanie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","47","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","275","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DZA","Algérie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1507","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DEU","Allemagne","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","789","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AGO","Angola","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","59","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AGO","Angola","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","316","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ATG","Antigua-et-Barbuda","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ATG","Antigua-et-Barbuda","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SAU","Arabie saoudite","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1130","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SAU","Arabie saoudite","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","551","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ARG","Argentine","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","2361","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ARG","Argentine","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","14","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ARM","Arménie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","12","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ARM","Arménie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","40","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AUS","Australie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1397","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AUS","Australie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","4","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AUT","Autriche","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","152","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AUT","Autriche","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","121","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AZE","Azerbaïdjan","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","130","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","AZE","Azerbaïdjan","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","38","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BHS","Bahamas","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","6","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BHS","Bahamas","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","22","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BHR","Bahreïn","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","9","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BHR","Bahreïn","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","63","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BGD","Bangladesh","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","284","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BGD","Bangladesh","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BRB","Barbade","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","16","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BRB","Barbade","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BLR","Bélarus","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","512","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BLR","Bélarus","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","16","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BEL","Belgique","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","450","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BEL","Belgique","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","309","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BLZ","Belize","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","21","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BLZ","Belize","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BEN","Bénin","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","10","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BEN","Bénin","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","133","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BTN","Bhoutan","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BTN","Bhoutan","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BOL","Bolivie (État plurinational de)","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","516","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BOL","Bolivie (État plurinational de)","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BIH","Bosnie-Herzégovine","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","69","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BIH","Bosnie-Herzégovine","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","15","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BWA","Botswana","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BWA","Botswana","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","5","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BRA","Brésil","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","14691","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BRA","Brésil","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","5","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BGR","Bulgarie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","113","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BGR","Bulgarie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","90","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BFA","Burkina Faso","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","151","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BFA","Burkina Faso","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BDI","Burundi","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","8","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","BDI","Burundi","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CPV","Cabo Verde","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CPV","Cabo Verde","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","13","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","KHM","Cambodge","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","26","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","KHM","Cambodge","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CMR","Cameroun","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","123","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CMR","Cameroun","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","2","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CAN","Canada","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1531","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CAN","Canada","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","206","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CHL","Chili","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","769","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CHL","Chili","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","174","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","F351","Chine","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","24194","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","F351","Chine","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","1871","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","HKG","Chine - RAS de Hong-Kong","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","21","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HKG","Chine - RAS de Hong-Kong","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","305","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","MAC","Chine - RAS de Macao","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","MAC","Chine - RAS de Macao","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","32","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CHN","Chine, continentale","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","23400","I","Valeur imputée",""
