Code Domaine,Domaine,Code pays déclarant (M49),Pays déclarants,Code pays partenaire (M49),Pays partenaires,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TM","Matrices du commerce détaillées","008","Albanie","250","France","5609","Importations - Quantité","02151","Poulets","2022","2022","1000 têtes","6","X","Ciffre de sources internationales"
"TM","Matrices du commerce détaillées","008","Albanie","250","France","5610","Importations - Quantité","02151","Poulets","2022","2022","tonnes","0.24","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","008","Albanie","250","France","5622","Importations - Valeur","02151","Poulets","2022","2022","1000 US$","43","X","Ciffre de sources internationales"
"TM","Matrices du commerce détaillées","008","Albanie","250","France","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","491.3","X","Ciffre de sources internationales"
"TM","Matrices du commerce détaillées","008","Albanie","250","France","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","643","X","Ciffre de sources internationales"
"TM","Matrices du commerce détaillées","012","Algérie","250","France","5609","Importations - Quantité","02151","Poulets","2022","2022","1000 têtes","236","X","Ciffre de sources internationales"
"TM","Matrices du commerce détaillées","012","Algérie","250","France","5610","Importations - Quantité","02151","Poulets","2022","2022","tonnes","9.52","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","012","Algérie","250","France","5622","Importations - Valeur","02151","Poulets","2022","2022","1000 US$","2136","X","Ciffre de sources internationales"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5609","Importations - Quantité","02151","Poulets","2022","2022","1000 têtes","3230","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5610","Importations - Quantité","02151","Poulets","2022","2022","tonnes","5669.45","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5622","Importations - Valeur","02151","Poulets","2022","2022","1000 US$","2195","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5909","Exportations - Quantité","02151","Poulets","2022","2022","1000 têtes","220","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5910","Exportations - Quantité","02151","Poulets","2022","2022","tonnes","8.92","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5922","Exportations - Valeur","02151","Poulets","2022","2022","1000 US$","971","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","39331.14","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","101334","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","26505.3","A","Chiffre officiel"
"TM","Matrices du commerce détaillées","276","Allemagne","250","France","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 US$","116061","A","Chiffre officiel"
