"alpha_3";"nom_pays";"population";"urbanisation";"stabilite_politique";"droits_douane";"indice_gini";"croissance";"pib_par_habitant";"pib";"densite";"kg_volaille_consommee_par_hab";"kg_volaille_consommee";"reserves_poulets";"poulets_abattus";"poulets_abattus_par_hab";"kg_volaille_importee";"part_importation_consommation_volaille";"kg_poulets_importes_de_france"
"AGO";"Angola";34503774;0.662685710844269;-0.65;12.03;51.3;0.856000934845724;2309.52162029791;84722957642.3757;27.6760840619235;10.52;362979702.48;46486000;57031000;1.65289165179438;3.16e+08;0.870572094916;248550
"ALB";"Albania";2854710;0.649564053791804;0.11;1.61;29.4;3.43914949919611;8367.77573143421;22977677860.7979;104.186496350365;22.56;64402257.6;4999000;10646000;3.72927547806958;4.7e+07;0.729788081217824;491540
"ARE";"United Arab Emirates";9365145;0.926339741669777;0.7;4.11;26.4;3.40385720609487;52976.8083782405;504173451327.434;131.866305266122;55.25;517424261.25;26282000;44266000;4.72667534779227;6.38e+08;1.23303070184361;0
"ARG";"Argentina";45276780;0.935279341861325;-0.01;11.9;40.7;-1.55050153620256;13730.5147090247;640591410663.883;16.5443583306841;48.19;2181888028.2;116815000;751692000;16.6021523615416;1.4e+07;0.00641646125697368;0
"ARM";"Armenia";2790974;0.668164590569457;-0.8;5.7;27.9;8.7;8715.76533622178;24212134631.064;98.0321039690903;18.45;51493470.3;4827000;10964000;3.92837769180222;4e+07;0.776797519509964;0
"AUS";"Australia";25921089;0.85627339962453;0.93;1.93;34.3;3.01698810357014;64711.7656030565;1723827215334.71;3.36986760304835;49.09;1272466259.01;109382000;698032000;26.9291155167131;4e+06;0.00314350181914613;0
"AZE";"Azerbaijan";10312992;0.560395179206965;-0.93;9.26;26.6;1.12397432709641;7155.08360355897;72356176470.5882;124.779092558984;16.06;165626651.52;29795000;110260000;10.6913687123969;3.8e+07;0.229431674499628;0
"BDI";"Burundi";12551213;0.137827315973365;-1.19;11.29;37.5;2.70000059705133;199.580760181492;2642161668.92754;488.754400311526;0.66;8283800.58;2784000;8032000;0.639938147810893;0;0;0
"BEL";"Belgium";11611419;0.986046494403483;0.58;2.24;26.6;1.36505523054922;53475.2934952935;632216577075.109;383.468262879789;16.25;188685558.75;53283000;297794000;25.6466500778243;3.09e+08;1.63764520213977;139310830
"BEN";"Benin";12996895;0.469102427926055;-0.35;11.32;34.4;6.35282160914288;1434.66283439144;19673284686.0023;115.261573252927;10.69;138936807.55;16333000;17591000;1.35347711895803;1.33e+08;0.957269728197379;2427060
"BFA";"Burkina Faso";22100683;0.303863233548031;-1.78;11.33;37.4;2.96018001322078;874.121280381345;20324617838.9676;80.7773501461988;6.66;147190548.78;55306000;1.5e+08;6.7871205609347;0;0;11050
"BGD";"Bangladesh";169356251;0.394386954160907;-1.09;12.57;33.4;5.77511237007889;2529.08012688018;437415331040.994;1301.03903357148;1.66;281131376.66;311800000;316195000;1.86704062077992;0;0;0
"BIH";"Bosnia and Herzegovina";3270943;0.527657926169915;-0.44;3.16;33;1.6762234691309;8426.09111019155;27054889362.8852;63.88560546875;21.82;71371976.26;9299000;43537000;13.3102288850646;1.5e+07;0.21016652173616;0
"BLR";"Belarus";9578167;0.783986121770481;-0.79;5.65;24.4;3.88624214456901;7829.05313660622;71857382745.6066;47.1947129834935;35.13;336481006.71;105978000;423400000;44.2047001268614;1.6e+07;0.0475509751841351;0
"BLZ";"Belize";400031;0.468636180695996;0.43;11.87;53.2;4.5416322077583;7987.58595509037;3281500000;17.537527400263;30.33;12132940.23;1692000;11915000;29.7851916476473;0;0;0
