Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","40099.462","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AFG","Afghanistan","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","28674.023","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","AFG","Afghanistan","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","10239.684","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","59392.255","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","19088.162","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","40277.814","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","2854.71","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ALB","Albanie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1090.487","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","ALB","Albanie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1854.317","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","44177.969","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DZA","Algérie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","11317.455","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DZA","Algérie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","32651.848","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","83408.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DEU","Allemagne","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","18546.497","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","DEU","Allemagne","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","64044.372","X","Ciffre de sources internationales",""
