Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","AFG","Afghanistan","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","14066","E","Valeur estimée",""
"QCL","Cultures et produits animaux","AFG","Afghanistan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","35770","E","Valeur estimée",""
"QCL","Cultures et produits animaux","ZAF","Afrique du Sud","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","170305","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ZAF","Afrique du Sud","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","997757","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ALB","Albanie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","4999","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","ALB","Albanie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","10646","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","DZA","Algérie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","142061","E","Valeur estimée",""
"QCL","Cultures et produits animaux","DZA","Algérie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","271810","E","Valeur estimée",""
"QCL","Cultures et produits animaux","DEU","Allemagne","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","631051","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","AGO","Angola","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","46486","E","Valeur estimée",""
"QCL","Cultures et produits animaux","AGO","Angola","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","57031","E","Valeur estimée",""
"QCL","Cultures et produits animaux","ATG","Antigua-et-Barbuda","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","162","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ATG","Antigua-et-Barbuda","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","74","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","SAU","Arabie saoudite","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","210360","I","Valeur imputée",""
"QCL","Cultures et produits animaux","SAU","Arabie saoudite","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","644014","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ARG","Argentine","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","116815","I","Valeur imputée",""
"QCL","Cultures et produits animaux","ARG","Argentine","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","751692","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","ARM","Arménie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","4827","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","ARM","Arménie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","10964","E","Valeur estimée",""
"QCL","Cultures et produits animaux","AUS","Australie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","109382","I","Valeur imputée",""
"QCL","Cultures et produits animaux","AUS","Australie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","698032","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","AZE","Azerbaïdjan","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","29795","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","AZE","Azerbaïdjan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","110260","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BHS","Bahamas","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","3220","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BHS","Bahamas","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","5215","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BHR","Bahreïn","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1748","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BHR","Bahreïn","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","9815","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BGD","Bangladesh","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","311800","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BGD","Bangladesh","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","316195","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BRB","Barbade","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","4655","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BRB","Barbade","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","9940","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BLR","Bélarus","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","105978","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BLR","Bélarus","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","423400","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BEL","Belgique","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","53283","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BEL","Belgique","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","297794","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BLZ","Belize","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1692","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BLZ","Belize","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","11915","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BEN","Bénin","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","16333","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BEN","Bénin","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","17591","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BTN","Bhoutan","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","975","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BTN","Bhoutan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","866","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","223787","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","156806","I","Valeur imputée",""
"QCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","9299","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","43537","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BWA","Botswana","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","830","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BWA","Botswana","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","2376","E","Valeur estimée",""
"QCL","Cultures et produits animaux","BRA","Brésil","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","1586048","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BRA","Brésil","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","6109829","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","21416","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","BRN","Brunéi Darussalam","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","20472","A","Chiffre officiel",""
